class_tag,Overall score Excellent,Overall score Very Good,Overall score Good,Overall score Fair,Overall score Unsatisfactory,Overall score Course Mean,Overall score FAS Mean,Materials Excellent,Materials Very Good,Materials Good,Materials Fair,Materials Unsatisfactory,Materials Course Mean,Materials FAS Mean,Assignments Excellent,Assignments Very Good,Assignments Good,Assignments Fair,Assignments Unsatisfactory,Assignments Course Mean,Assignments FAS Mean,Feedback Excellent,Feedback Very Good,Feedback Good,Feedback Fair,Feedback Unsatisfactory,Feedback Course Mean,Feedback FAS Mean,Section Excellent,Section Very Good,Section Good,Section Fair,Section Unsatisfactory,Section Course Mean,Section FAS Mean,mean_hours
AFVS 167,63%,25%,0%,13%,0%,4.38,4.22,75%,13%,0%,13%,0%,4.50,4.22,75%,25%,0%,0%,0%,4.75,4.10,75%,13%,13%,0%,0%,4.63,4.11,100%,0%,0%,0%,0%,5.00,4.25,5.25
AFVS 172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 184E,33%,50%,17%,0%,0%,4.17,4.26,20%,60%,20%,0%,0%,4.00,4.25,40%,40%,20%,0%,0%,4.20,4.10,40%,40%,0%,20%,0%,4.00,4.11,N/A,N/A,N/A,N/A,N/A,NRP,4.22,6.40
AFVS 189G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 196R,50%,50%,0%,0%,0%,4.50,4.22,50%,50%,0%,0%,0%,4.50,4.22,67%,33%,0%,0%,0%,4.67,4.10,67%,33%,0%,0%,0%,4.67,4.11,N/A,N/A,N/A,N/A,N/A,NRP,4.25,7.50
AFVS 196R,50%,50%,0%,0%,0%,4.50,4.22,50%,50%,0%,0%,0%,4.50,4.22,67%,33%,0%,0%,0%,4.67,4.10,67%,33%,0%,0%,0%,4.67,4.11,N/A,N/A,N/A,N/A,N/A,NRP,4.25,7.50
AFVS 198F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 209R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 209R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 215,83%,17%,0%,0%,0%,4.83,4.17,83%,17%,0%,0%,0%,4.83,4.16,83%,17%,0%,0%,0%,4.83,4.02,67%,17%,17%,0%,0%,4.50,4.03,67%,33%,0%,0%,0%,4.67,4.17,11.17
AFVS 237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 301,100%,0%,0%,0%,0%,5.00,4.26,100%,0%,0%,0%,0%,5.00,4.25,100%,0%,0%,0%,0%,5.00,4.10,100%,0%,0%,0%,0%,5.00,4.11,100%,0%,0%,0%,0%,5.00,4.22,0.00
AFVS 301,100%,0%,0%,0%,0%,5.00,4.26,100%,0%,0%,0%,0%,5.00,4.25,100%,0%,0%,0%,0%,5.00,4.10,100%,0%,0%,0%,0%,5.00,4.11,100%,0%,0%,0%,0%,5.00,4.22,0.00
AFVS 305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 330R,100%,0%,0%,0%,0%,5.00,4.26,100%,0%,0%,0%,0%,5.00,4.25,100%,0%,0%,0%,0%,5.00,4.10,100%,0%,0%,0%,0%,5.00,4.11,100%,0%,0%,0%,0%,5.00,4.22,0.00
AFVS 330R,100%,0%,0%,0%,0%,5.00,4.26,100%,0%,0%,0%,0%,5.00,4.25,100%,0%,0%,0%,0%,5.00,4.10,100%,0%,0%,0%,0%,5.00,4.11,100%,0%,0%,0%,0%,5.00,4.22,0.00
AFVS 351HF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 351HF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 355R,50%,0%,50%,0%,0%,4.00,4.18,100%,0%,0%,0%,0%,5.00,4.19,67%,33%,0%,0%,0%,4.67,4.05,25%,50%,0%,25%,0%,3.75,4.08,N/A,N/A,N/A,N/A,N/A,NRP,4.22,10.75
AFVS 390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKKAD AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKKAD AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKKAD 120R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKKAD 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKKAD 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBANIAN AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBANIAN AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBANIAN AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBANIAN BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBANIAN BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMHARIC AA,20%,30%,30%,20%,0%,3.50,4.17,11%,33%,22%,0%,33%,2.89,4.15,20%,20%,40%,20%,0%,3.40,4.00,20%,30%,30%,20%,0%,3.50,3.95,33%,33%,0%,33%,0%,3.67,4.10,2.38
AMHARIC AB,75%,0%,25%,0%,0%,4.50,4.23,50%,25%,25%,0%,0%,4.25,4.24,50%,50%,0%,0%,0%,4.50,4.09,50%,25%,25%,0%,0%,4.25,4.13,0%,100%,0%,0%,0%,4.00,4.24,dary Field or Language Citation Requirement 0
AMHARIC BA,100%,0%,0%,0%,0%,5.00,4.20,67%,33%,0%,0%,0%,4.67,4.18,67%,33%,0%,0%,0%,4.67,4.04,67%,33%,0%,0%,0%,4.67,4.07,100%,0%,0%,0%,0%,5.00,4.20,dary Field or Language Citation Requirement 2
AMHARIC BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMHARIC 101AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMHARIC 101AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMHARIC 101BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTDIES 314A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANCSTD 201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANE 108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANE 120A,50%,43%,7%,0%,0%,4.43,4.17,29%,43%,21%,7%,0%,3.93,4.16,43%,36%,21%,0%,0%,4.21,4.02,64%,29%,7%,0%,0%,4.57,4.03,100%,0%,0%,0%,0%,5.00,4.17,4.14
ANE 120B,83%,17%,0%,0%,0%,4.83,4.23,50%,50%,0%,0%,0%,4.50,4.24,83%,0%,17%,0%,0%,4.67,4.09,67%,33%,0%,0%,0%,4.67,4.13,N/A,N/A,N/A,N/A,N/A,NRP,4.24,3.67
ANE 134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANE 208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANE 227,100%,0%,0%,0%,0%,5.00,4.22,67%,17%,17%,0%,0%,4.50,4.22,100%,0%,0%,0%,0%,5.00,4.10,50%,50%,0%,0%,0%,4.50,4.11,100%,0%,0%,0%,0%,5.00,4.25,4.50
ANE 234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANE 301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANE 330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANE 330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 91XR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 91XR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 91ZR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 91ZR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 92XR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 92XR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 92ZR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 92ZR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 97X,100%,0%,0%,0%,0%,5.00,4.23,40%,60%,0%,0%,0%,4.40,4.24,80%,20%,0%,0%,0%,4.80,4.09,60%,20%,20%,0%,0%,4.40,4.13,100%,0%,0%,0%,0%,5.00,4.24,5.40
ANTHRO 97Z,17%,42%,33%,8%,0%,3.67,4.22,33%,25%,42%,0%,0%,3.92,4.22,25%,42%,17%,17%,0%,3.75,4.10,50%,25%,8%,17%,0%,4.08,4.11,33%,42%,17%,8%,0%,4.00,4.25,7.92
ANTHRO 98A,46%,23%,23%,8%,0%,4.08,4.20,50%,17%,25%,0%,8%,4.00,4.18,55%,27%,18%,0%,0%,4.36,4.04,64%,36%,0%,0%,0%,4.64,4.07,86%,14%,0%,0%,0%,4.86,4.20,2.69
ANTHRO 98B,100%,0%,0%,0%,0%,5.00,4.22,83%,17%,0%,0%,0%,4.83,4.22,86%,14%,0%,0%,0%,4.86,4.10,100%,0%,0%,0%,0%,5.00,4.11,100%,0%,0%,0%,0%,5.00,4.25,dary Field or Language Citation Requirement 0
ANTHRO 99A,57%,43%,0%,0%,0%,4.57,4.20,43%,57%,0%,0%,0%,4.43,4.18,62%,38%,0%,0%,0%,4.62,4.04,54%,46%,0%,0%,0%,4.54,4.07,63%,38%,0%,0%,0%,4.63,4.20,7.25
ANTHRO 99B,31%,56%,0%,13%,0%,4.06,4.22,50%,33%,17%,0%,0%,4.33,4.22,56%,25%,6%,13%,0%,4.25,4.10,63%,25%,6%,6%,0%,4.44,4.11,38%,38%,13%,13%,0%,4.00,4.25,9.73
ANTHRO 1038,100%,0%,0%,0%,0%,5.00,4.18,100%,0%,0%,0%,0%,5.00,4.19,88%,13%,0%,0%,0%,4.88,4.05,100%,0%,0%,0%,0%,5.00,4.08,N/A,N/A,N/A,N/A,N/A,NRP,4.22,3.57
ANTHRO 1080,82%,9%,9%,0%,0%,4.73,4.26,50%,50%,0%,0%,0%,4.50,4.25,36%,55%,9%,0%,0%,4.27,4.10,60%,40%,0%,0%,0%,4.60,4.11,50%,30%,10%,10%,0%,4.20,4.22,4.18
ANTHRO 1084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 1130,85%,15%,0%,0%,0%,4.85,4.17,54%,15%,31%,0%,0%,4.23,4.16,69%,31%,0%,0%,0%,4.69,4.02,85%,15%,0%,0%,0%,4.85,4.03,77%,15%,8%,0%,0%,4.69,4.17,3.25
ANTHRO 1131,90%,10%,0%,0%,0%,4.90,4.18,78%,11%,11%,0%,0%,4.67,4.19,67%,33%,0%,0%,0%,4.67,4.05,89%,11%,0%,0%,0%,4.89,4.08,89%,11%,0%,0%,0%,4.89,4.22,4.44
ANTHRO 1182,29%,43%,14%,14%,0%,3.86,4.17,43%,43%,0%,14%,0%,4.14,4.16,57%,14%,0%,29%,0%,4.00,4.02,57%,14%,14%,14%,0%,4.14,4.03,50%,0%,0%,50%,0%,3.50,4.17,4.57
ANTHRO 1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 1400,57%,21%,21%,0%,0%,4.36,4.26,64%,21%,14%,0%,0%,4.50,4.25,50%,29%,14%,7%,0%,4.21,4.10,64%,21%,0%,14%,0%,4.36,4.11,71%,21%,0%,0%,7%,4.50,4.22,5.31
ANTHRO 1475,48%,41%,0%,7%,4%,4.22,4.22,44%,37%,15%,4%,0%,4.22,4.22,52%,28%,16%,4%,0%,4.28,4.10,58%,15%,27%,0%,0%,4.31,4.11,54%,19%,19%,0%,8%,4.12,4.25,3.32
ANTHRO 1610,43%,43%,7%,7%,0%,4.21,4.20,38%,46%,15%,0%,0%,4.23,4.18,54%,46%,0%,0%,0%,4.54,4.04,100%,0%,0%,0%,0%,5.00,4.07,46%,31%,23%,0%,0%,4.23,4.20,5.08
ANTHRO 1617,67%,33%,0%,0%,0%,4.67,4.22,83%,0%,17%,0%,0%,4.67,4.22,67%,17%,17%,0%,0%,4.50,4.10,67%,33%,0%,0%,0%,4.67,4.11,50%,0%,0%,50%,0%,3.50,4.25,5.17
ANTHRO 1643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 1698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 1709,60%,30%,10%,0%,0%,4.50,4.22,60%,40%,0%,0%,0%,4.60,4.22,50%,50%,0%,0%,0%,4.50,4.10,40%,40%,20%,0%,0%,4.20,4.11,100%,0%,0%,0%,0%,5.00,4.25,6.60
ANTHRO 1781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 1836AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 1836BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 1836CR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 1836DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 1900,77%,15%,0%,0%,8%,4.54,4.22,77%,15%,0%,8%,0%,4.62,4.22,62%,15%,23%,0%,0%,4.38,4.10,54%,31%,8%,8%,0%,4.31,4.11,50%,50%,0%,0%,0%,4.50,4.25,4.92
ANTHRO 1906,33%,33%,22%,11%,0%,3.89,4.20,56%,22%,11%,11%,0%,4.22,4.18,33%,33%,11%,22%,0%,3.78,4.04,44%,22%,11%,22%,0%,3.89,4.07,25%,25%,25%,25%,0%,3.50,4.20,6.67
ANTHRO 1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 2020,25%,75%,0%,0%,0%,4.25,4.18,50%,50%,0%,0%,0%,4.50,4.19,25%,75%,0%,0%,0%,4.25,4.05,25%,0%,50%,25%,0%,3.25,4.08,100%,0%,0%,0%,0%,5.00,4.22,7.00
ANTHRO 2064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 2070,86%,14%,0%,0%,0%,4.86,4.17,71%,14%,14%,0%,0%,4.57,4.15,57%,43%,0%,0%,0%,4.57,4.00,43%,57%,0%,0%,0%,4.43,3.95,50%,0%,50%,0%,0%,4.00,4.10,9.86
ANTHRO 2085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 2177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 2301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 2317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 2738,67%,33%,0%,0%,0%,4.67,4.22,83%,17%,0%,0%,0%,4.83,4.22,40%,20%,40%,0%,0%,4.00,4.10,0%,20%,60%,20%,0%,3.00,4.11,100%,0%,0%,0%,0%,5.00,4.25,8.40
ANTHRO 2752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 2797,73%,18%,9%,0%,0%,4.64,4.17,73%,18%,9%,0%,0%,4.64,4.16,55%,18%,18%,9%,0%,4.18,4.02,64%,36%,0%,0%,0%,4.64,4.03,N/A,N/A,N/A,N/A,N/A,NRP,4.17,7.18
ANTHRO 2855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3000 023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3001 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3002 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3002 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3002 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3002 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3002 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3002 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3002 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3002 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3002 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3002 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3002 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3002 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3002 007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3002 007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3002 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3002 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHRO 3500 018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
